UTCHr,UTCMin,UTCSec,UTCSubsec,Pack_count,IMUTemp,q0,q1,q2,q3,Roll,Pitch,Yaw,RollRate,PitchRate,YawRate,AccX,AccY,AccZ,RealAccX,RealAccY,RealAccZ,PosX,PosY,PosZ,Long,Lat,Height,VelX,VelY,VelZ,RSSI,SNR,
14:45:11:42,26771,30.2031,0.36328     0.41968    -0.60986    -0.56543,-112.5711      1.805155   0.002662659,-0.0076675   0.0094528   0.0026627,-0.0012074  -0.0038395   0.0022888,-0.30127      9.7422     -0.9458,0  0  0,24.78577      120.9975      154.6066,-0.08630371    0.04974365      154.6066,-50,6.5,
14:45:11:65,26772,30.2031,0.36353     0.41968    -0.60986    -0.56543,-112.5556      1.787763   0.001283646,-0.0086746   0.0097427   0.0012836,-0.031738     0.01474   0.0015583,-0.30713      9.7422     -0.9082,0  0  0,24.78577      120.9975      154.6006,-0.08483887    0.05041504      154.6006,-50,6.25,
14:45:11:87,26773,30.2031,0.36353     0.41968    -0.60986    -0.56543,-112.5556      1.787763   0.003063202,-0.0063667   0.0086212   0.0030632,0.0020275   0.0069923  -0.0035019,-0.3125      9.7344    -0.94141,0  0  0,24.78577      120.9975      154.5987,-0.08435059    0.05102539      154.5987,-50,6,
14:45:12:10,26774,30.2031,0.36353     0.41968    -0.60986    -0.56543,-112.5556      1.787763   0.003883362,-0.0074997   0.0087585   0.0038834,-0.011208  -0.0084229  -0.0022736,-0.29321      9.7344    -0.93506,0  0  0,24.78577      120.9975      154.5952,-0.08306885    0.05221558      154.5952,-50,6.25,
14:45:12:32,26775,30.2188,0.36353     0.41968    -0.60986    -0.56543,-112.5556      1.787763   0.005241394,0.0023346   0.0069275   0.0052414,-0.012016    0.010475    0.017944,-0.31128      9.7578    -0.92969,0  0  0,24.78577      120.9975      154.6265,-0.08374023      0.052948      154.6265,-50,6.5,
14:45:12:55,26776,30.2188,0.36353     0.41968    -0.60986    -0.56543,-112.5556      1.787763   0.002891541,-0.0088959    0.009697   0.0028915,0.011559   -0.010902  0.00053692,-0.29956      9.7344    -0.95703,0  0  0,24.78577      120.9975      154.6237,-0.08233643    0.05505371      154.6237,-51,6.25,
14:45:12:77,26777,30.2188,0.36353     0.41968    -0.60986    -0.56543,-112.5556      1.787763   0.001859665,-0.0069084   0.0088348   0.0018597,-0.0026321    0.014915   -0.051208,-0.31714      9.6875    -0.92725,0  0  0,24.78578      120.9975       154.628,-0.08099365    0.05664063       154.628,-51,6.5,
14:45:13:00,26778,30.2188,0.36353     0.41968    -0.60986    -0.56543,-112.5556      1.787763   0.003509521,-0.0048637   0.0070648   0.0035095,0.0026283   0.0013342    0.037659,-0.30859      9.7734    -0.94824,0  0  0,24.78578      120.9975      154.6178,-0.08105469    0.05859375      154.6178,-51,6,
14:45:13:22,26779,30.2188,0.36353     0.41968    -0.60986    -0.56543,-112.5556      1.787763   0.001371384,-0.0059166   0.0069008   0.0013714,-0.0015917  -0.0058022   0.0059586,-0.2998      9.7422    -0.94482,0  0  0,24.78578      120.9975      154.6242,-0.07971191    0.05953979      154.6242,-51,6.5,
14:45:13:44,26780,30.2188,0.36353     0.41968    -0.60986    -0.56543,-112.5556      1.787763   0.002542496,-0.010162     0.01107   0.0025425,-0.0037689  -0.0012627  -0.0037766,-0.30273      9.7344    -0.93896,0  0  0,24.78578      120.9975      154.6145,-0.0802002    0.06311035      154.6145,-51,6.5,
14:45:13:67,26781,30.2188,0.36353     0.41968    -0.60986    -0.56543,-112.5556      1.787763   0.002737045,-0.0077591    0.010178    0.002737,0.0056763   0.0032101 -0.00042152,-0.3103      9.7344     -0.9458,0  0  0,24.78578      120.9975      154.6017,-0.07983398    0.06488037      154.6017,-50,6.5,
14:45:13:90,26782,30.2188,0.36353     0.41968    -0.60986    -0.56543,-112.5556      1.787763   0.003343582,-0.0070419   0.0090714   0.0033436,0.0038471  -0.0013151  -0.0038376,-0.30591      9.7344    -0.94482,0  0  0,24.78578      120.9975      154.5906,-0.07324219    0.06225586      154.5906,-50,6.5,
14:45:14:12,26783,30.2188,0.36353     0.41968    -0.60986    -0.56543,-112.5556      1.787763   0.003131866,-0.0072212   0.0095749   0.0031319,0.0010691   0.0015764   9.346e-05,-0.30762      9.7422    -0.94092,0  0  0,24.78578      120.9975      154.5951,-0.07312012    0.06396484      154.5951,-50,6.25,
